"member_id","org_id","first_name","last_name","role","membership_tier","join_date","renewal_date","is_active"
31,1900,"Laura","Davis","Billing Specialist","Standard",2017-03-08 09:49:14,2018-03-08 09:49:14,1
32,1268,"Sofia","Smith","Billing Specialist","Basic",2024-03-14 23:58:30,2025-03-14 23:58:30,1
33,1529,"Sofia","Smith","Administrator","Basic",2019-06-28 22:39:46,2020-06-28 22:39:46,1
34,3203,"Maria","Smith","Practice Manager","Basic",2023-12-02 03:10:38,2024-12-02 03:10:38,1
35,3557,"Linda","Garcia","Administrator","Premium",2021-05-26 15:23:06,2022-05-26 15:23:06,1
36,3891,"Chris","White","Administrator","Basic",2016-04-15 08:04:41,2017-04-15 08:04:41,1
37,647,"Linda","Davis","Practice Manager","Basic",2021-08-29 03:39:15,2022-08-29 03:39:15,1
38,2889,"Chris","Anderson","Administrator","Premium",2016-08-05 09:24:55,2017-08-05 09:24:55,1
39,2436,"Ana","Wilson","Front Desk","Standard",2022-09-25 12:00:20,2023-09-25 12:00:20,1
40,601,"Sofia","Martinez","Administrator","Standard",2017-08-10 02:31:35,2018-08-10 02:31:35,1
41,2364,"Chris","White","Billing Specialist","Standard",2022-08-05 04:32:37,2023-08-05 04:32:37,1
42,2062,"David","Lee","Administrator","Premium",2017-03-22 07:41:12,2018-03-22 07:41:12,0
43,242,"Sofia","Smith","Administrator","Premium",2021-11-18 03:28:07,2022-11-18 03:28:07,1
44,2042,"Linda","Wilson","Practice Owner","Premium",2021-05-05 01:21:33,2022-05-05 01:21:33,1
45,2825,"David","White","Front Desk","Standard",2017-10-18 08:06:04,2018-10-18 08:06:04,1
46,2613,"Laura","Lee","Administrator","Basic",2018-08-25 22:38:18,2019-08-25 22:38:18,0
47,1364,"Ana","Johnson","Billing Specialist","Standard",2023-11-05 05:22:16,2024-11-05 05:22:16,0
48,1479,"Maria","Davis","Administrator","Basic",2017-05-18 06:59:05,2018-05-18 06:59:05,0
49,2557,"James","Garcia","Billing Specialist","Standard",2018-10-26 14:11:52,2019-10-26 14:11:52,1
50,776,"Chris","Garcia","Practice Owner","Premium",2016-10-11 09:25:08,2017-10-11 09:25:08,1
51,4015,"Sofia","Wilson","Front Desk","Basic",2023-11-23 21:35:35,2024-11-23 21:35:35,1
52,35,"Chris","Lee","Billing Specialist","Standard",2018-03-22 21:04:32,2019-03-22 21:04:32,1
53,3153,"Chris","Anderson","Billing Specialist","Basic",2022-02-12 14:17:03,2023-02-12 14:17:03,1
54,1956,"Maria","White","Administrator","Basic",2023-07-31 20:40:12,2024-07-31 20:40:12,1
55,1586,"Sofia","Garcia","Billing Specialist","Standard",2024-03-08 08:30:05,2025-03-08 08:30:05,1
56,3944,"Alex","Johnson","Administrator","Basic",2020-01-23 04:16:17,2021-01-23 04:16:17,1
57,3074,"David","Johnson","Administrator","Premium",2020-06-10 01:46:11,2021-06-10 01:46:11,1
58,1022,"James","Garcia","Billing Specialist","Premium",2016-09-25 23:14:26,2017-09-25 23:14:26,1
59,3462,"Chris","Garcia","Administrator","Premium",2017-12-31 10:08:40,2018-12-31 10:08:40,1
60,2614,"Sofia","Garcia","Practice Owner","Basic",2020-08-01 15:43:14,2021-08-01 15:43:14,0
61,3844,"Sofia","Martinez","Practice Manager","Standard",2018-05-28 21:32:24,2019-05-28 21:32:24,0
62,1501,"Chris","Anderson","Administrator","Premium",2019-08-22 19:32:29,2020-08-22 19:32:29,1
63,4799,"Laura","Garcia","Front Desk","Premium",2023-07-23 04:20:52,2024-07-23 04:20:52,1
64,162,"Sofia","Brown","Front Desk","Basic",2018-07-18 04:01:03,2019-07-18 04:01:03,1
65,4298,"Ana","White","Billing Specialist","Standard",2021-09-21 10:08:28,2022-09-21 10:08:28,1
66,1982,"James","Davis","Practice Manager","Premium",2020-01-30 07:20:40,2021-01-30 07:20:40,1
67,996,"James","Anderson","Administrator","Standard",2020-04-29 05:39:29,2021-04-29 05:39:29,0
68,4912,"Linda","White","Administrator","Premium",2021-05-18 05:01:52,2022-05-18 05:01:52,1
69,3343,"Chris","Wilson","Administrator","Standard",2016-12-19 07:58:15,2017-12-19 07:58:15,1
70,4552,"James","Brown","Practice Owner","Basic",2017-09-18 00:37:32,2018-09-18 00:37:32,1
71,3799,"Laura","Lee","Practice Manager","Premium",2018-04-17 07:30:21,2019-04-17 07:30:21,1
72,1276,"Alex","Martinez","Practice Manager","Standard",2019-10-06 23:09:01,2020-10-06 23:09:01,1
73,1017,"Chris","Wilson","Administrator","Basic",2017-05-31 16:47:59,2018-05-31 16:47:59,1
74,338,"David","Wilson","Administrator","Standard",2023-03-05 06:28:41,2024-03-05 06:28:41,0
75,879,"Chris","Anderson","Practice Manager","Standard",2020-02-21 01:00:27,2021-02-21 01:00:27,1
76,1077,"Alex","Lee","Administrator","Standard",2016-11-03 20:28:42,2017-11-03 20:28:42,1
77,4888,"Linda","Garcia","Practice Manager","Basic",2023-09-23 14:01:24,2024-09-23 14:01:24,1
78,3994,"John","Garcia","Billing Specialist","Basic",2017-05-06 20:11:17,2018-05-06 20:11:17,1
79,4860,"Chris","Johnson","Practice Manager","Premium",2016-04-15 15:46:12,2017-04-15 15:46:12,1
80,380,"Ana","Johnson","Practice Owner","Standard",2018-12-19 06:26:12,2019-12-19 06:26:12,1
81,493,"Sofia","Davis","Administrator","Standard",2018-04-22 02:42:25,2019-04-22 02:42:25,1
82,2063,"Maria","Wilson","Practice Manager","Standard",2023-02-27 16:01:24,2024-02-27 16:01:24,1
83,3885,"Ana","Anderson","Administrator","Standard",2018-04-29 15:05:22,2019-04-29 15:05:22,1
84,65,"Alex","Brown","Practice Owner","Standard",2024-01-27 18:42:05,2025-01-27 18:42:05,0
85,2569,"Laura","Smith","Practice Manager","Basic",2020-03-16 22:51:40,2021-03-16 22:51:40,0
86,2028,"David","Davis","Practice Manager","Basic",2023-05-04 19:42:49,2024-05-04 19:42:49,1
87,2696,"Alex","Martinez","Practice Manager","Standard",2016-07-07 05:30:37,2017-07-07 05:30:37,1
88,1496,"Maria","Martinez","Practice Manager","Standard",2016-12-12 22:06:05,2017-12-12 22:06:05,1
89,392,"Alex","White","Administrator","Premium",2016-04-02 01:31:20,2017-04-02 01:31:20,0
90,4515,"Sofia","Wilson","Administrator","Premium",2023-01-30 22:12:08,2024-01-30 22:12:08,1
91,4475,"Maria","White","Administrator","Basic",2018-04-22 00:45:17,2019-04-22 00:45:17,1
92,3562,"Sofia","Lee","Practice Manager","Basic",2022-06-09 08:06:10,2023-06-09 08:06:10,1
93,2279,"David","Garcia","Administrator","Standard",2024-04-16 07:48:25,2025-04-16 07:48:25,1
94,3100,"James","Garcia","IT/Operations","Basic",2018-12-21 11:49:43,2019-12-21 11:49:43,1
95,201,"Maria","Garcia","Practice Manager","Premium",2023-01-16 06:25:51,2024-01-16 06:25:51,1
96,4876,"John","Garcia","Practice Manager","Basic",2016-06-02 06:42:32,2017-06-02 06:42:32,0
97,3105,"Alex","Davis","Billing Specialist","Standard",2020-01-04 17:55:22,2021-01-04 17:55:22,1
98,4599,"Ana","Martinez","Administrator","Basic",2017-02-25 04:33:52,2018-02-25 04:33:52,0
99,2455,"Alex","Smith","Billing Specialist","Basic",2017-05-16 12:02:06,2018-05-16 12:02:06,1
100,3646,"David","Johnson","Administrator","Basic",2023-10-12 11:07:52,2024-10-12 11:07:52,0
101,805,"David","White","Practice Owner","Basic",2021-05-24 01:56:11,2022-05-24 01:56:11,1
102,2732,"Sofia","Martinez","Practice Manager","Standard",2019-08-09 08:50:16,2020-08-09 08:50:16,0
103,2774,"David","Martinez","Administrator","Premium",2023-04-28 05:40:14,2024-04-28 05:40:14,0
104,1571,"Maria","Lee","Administrator","Basic",2020-01-27 23:11:57,2021-01-27 23:11:57,1
105,2691,"Ana","Davis","Administrator","Premium",2017-08-08 18:40:32,2018-08-08 18:40:32,1
106,3841,"David","Garcia","IT/Operations","Basic",2018-10-12 07:55:46,2019-10-12 07:55:46,1
107,1029,"Chris","White","Administrator","Standard",2022-03-07 04:55:28,2023-03-07 04:55:28,0
108,503,"Chris","Johnson","Administrator","Standard",2022-01-10 02:44:51,2023-01-10 02:44:51,1
109,4494,"Sofia","Brown","Billing Specialist","Basic",2016-10-05 08:21:03,2017-10-05 08:21:03,1
110,871,"David","Lee","Practice Owner","Basic",2021-08-27 07:30:27,2022-08-27 07:30:27,0
111,4489,"David","Anderson","Administrator","Standard",2021-11-05 14:37:11,2022-11-05 14:37:11,1
112,207,"John","White","IT/Operations","Standard",2019-05-23 16:31:49,2020-05-23 16:31:49,1
113,1485,"Ana","Garcia","Billing Specialist","Standard",2020-08-22 21:39:45,2021-08-22 21:39:45,1
114,864,"David","Brown","Practice Manager","Premium",2016-02-24 03:18:28,2017-02-24 03:18:28,1
115,2791,"John","Smith","Practice Manager","Standard",2021-12-11 08:31:36,2022-12-11 08:31:36,0
116,564,"Sofia","Johnson","Practice Manager","Basic",2021-04-18 14:04:17,2022-04-18 14:04:17,1
117,4192,"Alex","Davis","Administrator","Premium",2023-06-11 11:34:25,2024-06-11 11:34:25,1
118,1758,"John","Davis","Practice Owner","Basic",2016-12-09 11:40:26,2017-12-09 11:40:26,1
119,1679,"Chris","Garcia","Practice Manager","Basic",2019-03-26 17:23:23,2020-03-26 17:23:23,1
120,3243,"Chris","White","Administrator","Standard",2023-08-18 05:53:14,2024-08-18 05:53:14,1
121,4637,"Maria","Johnson","Administrator","Basic",2016-05-27 02:55:57,2017-05-27 02:55:57,1
122,1060,"John","Johnson","Administrator","Premium",2023-06-19 18:56:47,2024-06-19 18:56:47,1
123,1723,"Ana","Garcia","Billing Specialist","Standard",2024-01-29 09:18:13,2025-01-29 09:18:13,1
124,3315,"James","Johnson","Practice Manager","Basic",2022-09-05 03:00:38,2023-09-05 03:00:38,0
125,3158,"Alex","Lee","Practice Manager","Standard",2024-08-27 04:57:11,2025-08-27 04:57:11,1
126,2626,"Linda","Garcia","Front Desk","Basic",2017-06-27 04:34:05,2018-06-27 04:34:05,0
127,2730,"Sofia","Garcia","Billing Specialist","Basic",2023-06-09 08:00:16,2024-06-09 08:00:16,1
128,1598,"David","Wilson","Billing Specialist","Basic",2023-03-09 03:54:20,2024-03-09 03:54:20,1
129,3061,"Alex","Davis","Practice Manager","Standard",2016-02-04 08:39:03,2017-02-04 08:39:03,1
130,2694,"John","Johnson","Practice Owner","Basic",2024-08-24 19:16:42,2025-08-24 19:16:42,1
131,4892,"Ana","Anderson","Administrator","Basic",2024-04-11 01:37:53,2025-04-11 01:37:53,1
132,3628,"Sofia","Smith","Front Desk","Basic",2018-10-27 23:48:57,2019-10-27 23:48:57,1
133,1364,"Maria","Lee","Practice Manager","Basic",2020-05-16 19:36:48,2021-05-16 19:36:48,1
134,1982,"Sofia","Smith","Front Desk","Standard",2020-07-17 08:27:43,2021-07-17 08:27:43,1
135,1664,"Alex","Wilson","Practice Owner","Standard",2023-02-01 12:42:50,2024-02-01 12:42:50,0
136,1530,"Alex","Davis","Practice Manager","Basic",2020-10-16 03:19:05,2021-10-16 03:19:05,0
137,2039,"Linda","Brown","Practice Manager","Basic",2018-08-25 18:05:39,2019-08-25 18:05:39,1
138,3303,"James","Smith","Practice Manager","Basic",2022-07-11 08:21:15,2023-07-11 08:21:15,1
139,2238,"Ana","Anderson","Front Desk","Premium",2021-01-10 17:46:51,2022-01-10 17:46:51,0
140,1307,"Maria","Anderson","Administrator","Basic",2017-05-14 17:04:34,2018-05-14 17:04:34,1
141,4030,"Laura","Davis","Practice Manager","Standard",2021-10-26 15:33:49,2022-10-26 15:33:49,1
142,2676,"Sofia","Johnson","Practice Owner","Premium",2019-03-16 03:23:44,2020-03-16 03:23:44,1
143,1283,"James","Davis","Administrator","Premium",2022-08-26 19:46:00,2023-08-26 19:46:00,0
144,710,"Ana","Wilson","Practice Owner","Standard",2022-02-19 17:36:54,2023-02-19 17:36:54,0
145,4745,"Alex","Davis","Practice Owner","Basic",2023-03-26 23:07:42,2024-03-26 23:07:42,1
146,4414,"Chris","Brown","Practice Owner","Basic",2018-08-24 03:01:44,2019-08-24 03:01:44,0
147,3749,"Ana","Lee","Practice Owner","Basic",2023-04-08 10:55:22,2024-04-08 10:55:22,0
148,4780,"Sofia","Smith","IT/Operations","Basic",2022-03-27 12:41:23,2023-03-27 12:41:23,0
149,664,"Ana","White","Administrator","Premium",2017-03-13 11:05:48,2018-03-13 11:05:48,1
150,1999,"Linda","Garcia","Billing Specialist","Standard",2018-11-08 03:03:17,2019-11-08 03:03:17,0
151,3446,"Linda","Johnson","Billing Specialist","Standard",2021-02-13 02:09:43,2022-02-13 02:09:43,1
152,3744,"Ana","Martinez","Front Desk","Standard",2016-12-11 01:33:56,2017-12-11 01:33:56,0
153,1496,"Linda","Johnson","Practice Owner","Basic",2020-05-14 05:08:35,2021-05-14 05:08:35,0
154,3305,"James","Martinez","Administrator","Basic",2018-08-30 00:29:53,2019-08-30 00:29:53,1
155,3764,"John","White","Practice Manager","Basic",2017-10-14 02:49:12,2018-10-14 02:49:12,0
156,1854,"Chris","Johnson","Administrator","Basic",2020-09-19 01:48:50,2021-09-19 01:48:50,1
157,4660,"Sofia","Smith","Practice Manager","Basic",2019-08-26 10:58:39,2020-08-26 10:58:39,1
158,1292,"Sofia","Wilson","Practice Manager","Basic",2022-06-26 11:33:45,2023-06-26 11:33:45,1
159,3582,"Sofia","Anderson","Administrator","Basic",2022-12-13 12:15:04,2023-12-13 12:15:04,0
160,3458,"Chris","Johnson","Practice Owner","Basic",2023-02-26 18:09:08,2024-02-26 18:09:08,1
161,1637,"Sofia","Davis","Front Desk","Standard",2022-10-16 17:46:14,2023-10-16 17:46:14,1
162,3697,"Alex","Anderson","Practice Owner","Basic",2021-02-24 23:50:51,2022-02-24 23:50:51,1
163,3000,"James","Davis","Administrator","Standard",2016-01-27 18:55:45,2017-01-27 18:55:45,0
164,3153,"James","White","Billing Specialist","Premium",2023-04-29 05:49:13,2024-04-29 05:49:13,1
165,699,"Sofia","Smith","Practice Owner","Basic",2023-10-18 19:25:10,2024-10-18 19:25:10,1
166,2161,"Maria","Lee","Front Desk","Premium",2023-07-29 17:53:27,2024-07-29 17:53:27,0
167,4098,"Linda","Wilson","Practice Manager","Standard",2023-11-02 20:10:15,2024-11-02 20:10:15,1
168,4738,"David","Brown","IT/Operations","Basic",2017-02-03 07:46:00,2018-02-03 07:46:00,1
169,855,"Alex","Lee","Practice Owner","Premium",2017-07-31 06:42:44,2018-07-31 06:42:44,1
170,3475,"Ana","Brown","Billing Specialist","Standard",2020-08-21 16:13:41,2021-08-21 16:13:41,1
171,1708,"Alex","Wilson","Practice Manager","Standard",2019-06-19 07:15:26,2020-06-19 07:15:26,1
172,2778,"Alex","Martinez","Administrator","Standard",2019-03-27 02:41:20,2020-03-27 02:41:20,1
173,1734,"James","Brown","Administrator","Basic",2018-08-14 21:39:26,2019-08-14 21:39:26,0
174,4932,"Sofia","Johnson","Administrator","Basic",2023-07-22 08:52:23,2024-07-22 08:52:23,0
175,3511,"Linda","Martinez","Practice Manager","Standard",2024-01-17 20:39:09,2025-01-17 20:39:09,1
176,203,"Maria","Lee","Billing Specialist","Premium",2017-11-06 07:08:14,2018-11-06 07:08:14,1
177,3256,"Chris","Wilson","Billing Specialist","Basic",2022-02-05 06:32:31,2023-02-05 06:32:31,0
178,4219,"David","White","Practice Manager","Premium",2021-07-11 06:09:42,2022-07-11 06:09:42,1
179,4497,"John","White","Administrator","Premium",2019-08-15 12:46:33,2020-08-15 12:46:33,0
180,767,"Ana","White","Administrator","Basic",2024-03-11 03:37:52,2025-03-11 03:37:52,1
181,4390,"Alex","Lee","Administrator","Basic",2018-12-10 19:12:04,2019-12-10 19:12:04,1
182,2328,"Maria","Smith","Practice Manager","Basic",2020-10-24 02:08:44,2021-10-24 02:08:44,1
183,2932,"Alex","Davis","Billing Specialist","Basic",2018-04-25 05:42:14,2019-04-25 05:42:14,0
184,198,"Linda","Davis","Billing Specialist","Standard",2020-01-09 15:08:38,2021-01-09 15:08:38,0
185,1931,"Alex","Lee","Administrator","Basic",2019-01-04 05:16:33,2020-01-04 05:16:33,1
186,3583,"Chris","Anderson","Billing Specialist","Basic",2022-08-28 04:58:03,2023-08-28 04:58:03,0
187,609,"Maria","Brown","IT/Operations","Standard",2020-05-23 09:12:48,2021-05-23 09:12:48,0
188,3273,"Sofia","Smith","Front Desk","Standard",2019-07-16 04:24:02,2020-07-16 04:24:02,0
189,1148,"Sofia","Brown","Administrator","Standard",2016-12-17 18:54:28,2017-12-17 18:54:28,0
190,4283,"Ana","Martinez","Administrator","Basic",2023-05-03 11:14:36,2024-05-03 11:14:36,1
191,3398,"James","Wilson","Administrator","Basic",2019-05-11 00:10:55,2020-05-11 00:10:55,0
192,2512,"David","White","Administrator","Basic",2023-02-08 23:14:04,2024-02-08 23:14:04,1
193,1795,"Ana","Garcia","Administrator","Basic",2022-06-13 14:51:43,2023-06-13 14:51:43,1
194,660,"Ana","Garcia","Billing Specialist","Premium",2023-10-30 11:25:32,2024-10-30 11:25:32,1
195,2812,"Linda","Brown","IT/Operations","Basic",2016-12-01 00:30:19,2017-12-01 00:30:19,1
196,1370,"John","Brown","Practice Owner","Standard",2016-05-12 14:58:44,2017-05-12 14:58:44,0
197,1987,"Laura","White","Practice Manager","Basic",2021-10-16 15:03:28,2022-10-16 15:03:28,0
198,147,"John","Brown","Practice Manager","Standard",2021-08-21 21:21:49,2022-08-21 21:21:49,1
199,3220,"Linda","Brown","Billing Specialist","Basic",2019-11-14 20:12:50,2020-11-14 20:12:50,1
200,2912,"Maria","White","Administrator","Basic",2019-12-08 17:18:11,2020-12-08 17:18:11,1
201,1735,"Linda","Davis","Administrator","Premium",2021-11-05 03:59:42,2022-11-05 03:59:42,0
202,1844,"David","Martinez","Administrator","Standard",2018-05-12 21:07:14,2019-05-12 21:07:14,0
203,489,"Linda","Smith","Front Desk","Standard",2016-08-09 15:15:09,2017-08-09 15:15:09,1
204,2977,"Ana","Johnson","Administrator","Basic",2017-06-13 07:41:36,2018-06-13 07:41:36,0
205,1960,"John","Brown","Administrator","Basic",2018-09-13 15:04:40,2019-09-13 15:04:40,1
206,2386,"James","Johnson","Practice Owner","Standard",2016-08-08 01:36:26,2017-08-08 01:36:26,1
207,2920,"James","Lee","Administrator","Standard",2024-01-03 11:26:09,2025-01-03 11:26:09,1
208,4737,"Ana","Brown","Practice Manager","Basic",2024-10-25 09:12:17,2025-10-25 09:12:17,1
209,1803,"John","Garcia","Front Desk","Standard",2017-09-17 14:21:23,2018-09-17 14:21:23,1
210,4062,"Chris","Smith","Billing Specialist","Basic",2017-09-17 20:47:25,2018-09-17 20:47:25,1
211,3370,"John","Smith","Practice Owner","Standard",2017-04-10 17:10:10,2018-04-10 17:10:10,1
212,263,"John","Wilson","Practice Owner","Standard",2016-02-13 12:47:01,2017-02-13 12:47:01,0
213,624,"Ana","White","Practice Manager","Basic",2016-07-01 20:02:03,2017-07-01 20:02:03,1
214,1017,"Linda","White","Practice Owner","Basic",2023-01-20 13:03:28,2024-01-20 13:03:28,0
215,3644,"John","Wilson","Billing Specialist","Standard",2024-07-27 00:46:28,2025-07-27 00:46:28,1
216,4977,"Maria","Johnson","IT/Operations","Standard",2016-01-02 02:45:24,2017-01-02 02:45:24,1
217,2050,"Chris","Wilson","Administrator","Standard",2020-02-24 21:53:18,2021-02-24 21:53:18,1
218,3724,"Linda","White","Practice Manager","Standard",2024-07-24 03:21:49,2025-07-24 03:21:49,1
219,4549,"Laura","Wilson","Administrator","Standard",2021-10-30 22:44:01,2022-10-30 22:44:01,1
220,3109,"Chris","Johnson","Billing Specialist","Basic",2016-06-20 22:27:19,2017-06-20 22:27:19,1
221,4091,"Sofia","Wilson","IT/Operations","Basic",2023-07-19 09:34:50,2024-07-19 09:34:50,1
222,2057,"Chris","Davis","Practice Owner","Basic",2024-11-29 11:32:16,2025-11-29 11:32:16,1
223,3171,"David","Anderson","Administrator","Basic",2023-09-29 08:50:30,2024-09-29 08:50:30,1
224,1683,"Ana","Brown","Administrator","Premium",2017-10-18 04:08:33,2018-10-18 04:08:33,1
225,2256,"Chris","Garcia","Administrator","Basic",2017-06-19 19:59:41,2018-06-19 19:59:41,1
226,1155,"Maria","Brown","Administrator","Basic",2019-08-17 08:51:15,2020-08-17 08:51:15,1
227,4500,"Sofia","Wilson","Administrator","Basic",2018-12-01 20:26:40,2019-12-01 20:26:40,1
228,3192,"Laura","Brown","Practice Manager","Basic",2022-05-31 04:17:57,2023-05-31 04:17:57,1
229,1697,"Laura","Lee","Practice Owner","Basic",2021-12-01 07:01:00,2022-12-01 07:01:00,1
230,3992,"James","Garcia","Administrator","Standard",2023-06-06 09:00:02,2024-06-06 09:00:02,1
231,4724,"James","Smith","Billing Specialist","Basic",2020-10-09 07:24:40,2021-10-09 07:24:40,1
232,4683,"Alex","Davis","Practice Owner","Basic",2024-01-10 01:59:24,2025-01-10 01:59:24,1
233,1649,"Sofia","Martinez","Billing Specialist","Basic",2019-10-22 22:05:44,2020-10-22 22:05:44,1
234,1446,"Maria","Johnson","Practice Manager","Standard",2018-05-16 21:42:48,2019-05-16 21:42:48,1
235,4200,"Ana","Martinez","Practice Manager","Basic",2016-07-03 01:51:32,2017-07-03 01:51:32,1
236,3924,"Maria","Lee","IT/Operations","Standard",2022-08-07 15:44:11,2023-08-07 15:44:11,1
237,254,"Alex","Wilson","Administrator","Basic",2022-02-03 09:51:05,2023-02-03 09:51:05,1
238,3184,"Maria","Anderson","Billing Specialist","Standard",2016-11-10 02:06:19,2017-11-10 02:06:19,0
239,2558,"Ana","Brown","Administrator","Basic",2022-05-29 11:48:15,2023-05-29 11:48:15,0
240,99,"Linda","Lee","Practice Manager","Basic",2020-10-10 07:29:00,2021-10-10 07:29:00,1
241,2201,"Ana","Brown","Administrator","Standard",2020-02-10 11:39:27,2021-02-10 11:39:27,1
242,2962,"David","Garcia","Administrator","Premium",2020-05-23 18:00:07,2021-05-23 18:00:07,1
243,4974,"Chris","Brown","Billing Specialist","Basic",2022-08-27 05:26:30,2023-08-27 05:26:30,1
244,4434,"Laura","White","Administrator","Standard",2022-07-27 05:19:00,2023-07-27 05:19:00,1
245,3778,"John","Wilson","Billing Specialist","Basic",2019-08-19 19:48:36,2020-08-19 19:48:36,0
246,2870,"Chris","Garcia","Billing Specialist","Standard",2019-10-22 06:51:50,2020-10-22 06:51:50,1
247,3235,"Sofia","Garcia","Billing Specialist","Standard",2022-12-14 09:26:19,2023-12-14 09:26:19,1
248,3792,"Chris","Smith","Administrator","Premium",2016-04-11 02:25:04,2017-04-11 02:25:04,1
249,957,"James","White","Practice Manager","Standard",2021-08-17 23:46:07,2022-08-17 23:46:07,1
250,4068,"James","Johnson","Front Desk","Basic",2022-09-26 21:35:28,2023-09-26 21:35:28,1
251,161,"Maria","Wilson","Practice Owner","Basic",2021-11-25 22:00:56,2022-11-25 22:00:56,0
252,4494,"Laura","Wilson","Practice Manager","Basic",2024-09-14 13:51:47,2025-09-14 13:51:47,1
253,1301,"John","Johnson","Practice Owner","Standard",2022-11-09 16:09:15,2023-11-09 16:09:15,0
254,4912,"Chris","Anderson","Practice Owner","Standard",2021-12-19 13:15:21,2022-12-19 13:15:21,0
255,3988,"Chris","Anderson","Administrator","Standard",2023-05-14 08:00:23,2024-05-14 08:00:23,0
256,1528,"Laura","White","Front Desk","Basic",2021-10-11 06:38:33,2022-10-11 06:38:33,1
257,1219,"Sofia","Johnson","Practice Owner","Standard",2021-02-18 11:18:43,2022-02-18 11:18:43,1
258,4497,"James","Smith","Billing Specialist","Standard",2022-05-06 11:12:29,2023-05-06 11:12:29,1
259,4736,"Ana","White","Practice Manager","Basic",2021-11-12 02:47:23,2022-11-12 02:47:23,1
260,3105,"Sofia","Brown","Administrator","Basic",2023-10-27 12:13:30,2024-10-27 12:13:30,0
261,2736,"David","Lee","Billing Specialist","Standard",2019-09-23 10:54:27,2020-09-23 10:54:27,0
262,4556,"Maria","Johnson","Billing Specialist","Standard",2022-05-24 04:46:47,2023-05-24 04:46:47,1
263,955,"Laura","Lee","Practice Owner","Basic",2023-04-14 22:08:25,2024-04-14 22:08:25,1
264,4566,"Alex","Johnson","Practice Owner","Standard",2023-03-28 06:08:51,2024-03-28 06:08:51,1
265,3447,"Sofia","Johnson","Front Desk","Standard",2017-01-09 05:01:57,2018-01-09 05:01:57,1
266,1046,"Chris","Anderson","Practice Owner","Basic",2016-03-03 07:50:47,2017-03-03 07:50:47,0
